approach,model,floor,input_tokens,output_tokens,latency_s,cost_usd,envelope_l1_m,axes_x_jaccard,axes_y_jaccard,counts_mape,grid_step_err_m,quality
L0_legend_only,deterministic,0,0,0,0.0,0.0,0.0,1.0,1.0,1.95,0.0,1.0
A_vlm_zeroshot,gpt-5-2,0,226,186,17.68,0.00078,112.5,1.0,1.0,0.9032483645386872,0.0,0.75
B_vlm_fewshot,gpt-5-2,0,224,180,14.45,0.00076,0.0,1.0,1.0,0.9276787728400632,0.0,1.0
C_cheap_vlm,gpt-5-2,0,96,145,15.55,0.00053,112.5,0.0,0.0,0.9757575757575757,7492.5,0.0
D_legend_text,gpt-5-2,0,373,182,11.27,0.00092,0.0,1.0,1.0,1.95,0.0,1.0
D_legend_text,claude-sonnet-4-5,0,630,969,12.52,0.01642,0.0,1.0,1.0,1.95,0.0,1.0
E_legend_frontier,claude-sonnet-4-5,0,473,1431,10.93,0.02288,0.0,1.0,1.0,1.95,0.0,1.0
L0_legend_only,deterministic,1,0,0,0.0,0.0,0.0,1.0,1.0,34.666666666666664,0.0,1.0
A_vlm_zeroshot,gpt-5-2,1,226,182,14.96,0.00077,99.0,1.0,1.0,1.1912280701754385,0.0,0.75
B_vlm_fewshot,gpt-5-2,1,224,181,13.69,0.00077,0.0,1.0,1.0,1.2,0.0,1.0
C_cheap_vlm,gpt-5-2,1,96,124,14.09,0.00047,0.0,1.0,1.0,10.257894736842106,0.0,1.0
D_legend_text,gpt-5-2,1,373,182,9.37,0.00092,0.0,1.0,1.0,34.666666666666664,0.0,1.0
D_legend_text,claude-sonnet-4-5,1,630,963,9.14,0.01633,0.0,1.0,1.0,34.666666666666664,0.0,1.0
E_legend_frontier,claude-sonnet-4-5,1,473,966,6.96,0.01591,0.0,1.0,1.0,34.666666666666664,0.0,1.0
L0_legend_only,deterministic,2,0,0,0.0,0.0,0.0,1.0,1.0,228.75,0.0,1.0
A_vlm_zeroshot,gpt-5-2,2,226,169,17.77,0.00073,37.5,1.0,1.0,12.0,0.0,0.8125
B_vlm_fewshot,gpt-5-2,2,224,182,16.59,0.00077,0.0,1.0,1.0,2.5,0.0,1.0
C_cheap_vlm,gpt-5-2,2,96,181,15.18,0.00064,7.5,1.0,1.0,1.0,0.0,0.9625
D_legend_text,gpt-5-2,2,372,155,10.66,0.00084,0.0,1.0,1.0,228.75,0.0,1.0
D_legend_text,claude-sonnet-4-5,2,629,969,7.26,0.01642,0.0,1.0,1.0,228.75,0.0,1.0
E_legend_frontier,claude-sonnet-4-5,2,471,966,12.49,0.0159,0.0,1.0,1.0,228.75,0.0,1.0
L0_legend_only,deterministic,3,0,0,0.0,0.0,0.0,1.0,1.0,15.5,0.0,1.0
A_vlm_zeroshot,gpt-5-2,3,226,192,17.03,0.0008,45.0,1.0,0.9166666666666666,0.0,0.0,0.7542
B_vlm_fewshot,gpt-5-2,3,224,185,14.48,0.00078,0.0,1.0,0.9166666666666666,7.166666666666667,0.0,0.9792
C_cheap_vlm,gpt-5-2,3,96,126,17.2,0.00047,0.0,1.0,1.0,1.0833333333333333,0.0,1.0
D_legend_text,gpt-5-2,3,372,183,10.8,0.00092,0.0,1.0,1.0,15.5,0.0,1.0
D_legend_text,claude-sonnet-4-5,3,629,968,11.5,0.01641,0.0,1.0,1.0,15.5,0.0,1.0
E_legend_frontier,claude-sonnet-4-5,3,471,945,9.87,0.01559,0.0,1.0,1.0,15.5,0.0,1.0
